Personalizacion sku;Price;Min;Max
1;10;1;5
1;8;6;10
1;6;11;25
1;4;26;50
1;3;51;1000
2;20;1;5
2;16;6;10
2;12;11;25
2;8;26;50
2;6;51;1000
3;15;1;5
3;13;6;10
3;11;11;25
3;9;26;50
3;7;51;1000
