Name;Description;Sku;Photo link
Camiseta;100% cotton;1;https://camitees.com/wp-content/uploads/2020/04/C_03_15_BLANC.jpg
Sudadera;80% cotton;2;https://camitees.com/wp-content/uploads/2020/05/CANADA_196.png
Polo;90% cotton;3;https://camitees.com/wp-content/uploads/2020/05/COLOR_05_MARI-2.jpg
Top;100% polyester;4;https://camitees.com/wp-content/uploads/2020/05/C_230_07_NEGRE-1.jpg
Gorra;Ribete ;5;https://camitees.com/wp-content/uploads/2021/04/CP7019_55_1_1.jpg
